learning_rate,weight_decay,lambda_l1,n_epochs,n_layers,margin,test_size,feature,avg_weight
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Never has smoked,0.029395131394267
0.001,1e-08,0.2,100,1,0.3,0.25,diabetes_mellitus,0.0290761068463325
0.001,1e-08,0.2,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0289324950426816
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Bile duct,0.0285727828741073
0.001,1e-08,0.2,100,1,0.3,0.25,tumor_surgically_removed,0.028437566012144
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Active smoker,0.0270711798220872
0.001,1e-08,0.2,100,1,0.3,0.25,arterial_hypertension,0.0268776733428239
0.001,1e-08,0.2,100,1,0.3,0.25,dyslipidemia,0.0267600249499082
0.001,1e-08,0.2,100,1,0.3,0.25,sex,0.0266723968088626
0.001,1e-08,0.2,100,1,0.3,0.25,venous_insufficiency,0.0266100615262985
0.001,1e-08,0.2,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0264952462166547
0.001,1e-08,0.2,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0261898208409547
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Gastric,0.0244770143181085
0.001,1e-08,0.2,100,1,0.3,0.25,rs5110_n_risk_alleles,0.024029154330492
0.001,1e-08,0.2,100,1,0.3,0.25,previous_ate,0.0239839889109134
0.001,1e-08,0.2,100,1,0.3,0.25,grade_histological_differentiation,0.0225076861679554
0.001,1e-08,0.2,100,1,0.3,0.25,bmi,0.0218553692102432
0.001,1e-08,0.2,100,1,0.3,0.25,copd,0.0212857164442539
0.001,1e-08,0.2,100,1,0.3,0.25,age_cancer_dx,0.0211102906614542
0.001,1e-08,0.2,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0205975584685802
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Colorectal,0.0203425232321023
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0193641800433397
0.001,1e-08,0.2,100,1,0.3,0.25,pTNM_stage,0.0188190806657075
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0186949092894792
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_NSCLC,0.0185547210276126
0.001,1e-08,0.2,100,1,0.3,0.25,hormone_therapy,0.0176541376858949
0.001,1e-08,0.2,100,1,0.3,0.25,renal_insufficiency,0.016746224835515
0.001,1e-08,0.2,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0114953182637691
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Brain,0.0001319971634075
0.001,1e-08,0.2,100,1,0.3,0.25,previous_vte,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs268_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs6025_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,family_background_vte,0.0351861342787742
0.001,1e-08,0.2,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0342409610748291
0.001,1e-08,0.2,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0340995080769062
0.001,1e-08,0.2,100,1,0.3,0.25,arterial_hypertension,0.0320006571710109
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0319214351475238
0.001,1e-08,0.2,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0303761791437864
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Bile duct,0.0302133038640022
0.001,1e-08,0.2,100,1,0.3,0.25,copd,0.0292695015668869
0.001,1e-08,0.2,100,1,0.3,0.25,bmi,0.0290718339383602
0.001,1e-08,0.2,100,1,0.3,0.25,grade_histological_differentiation,0.0285323094576597
0.001,1e-08,0.2,100,1,0.3,0.25,dyslipidemia,0.0283608250319957
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Colorectal,0.0271506495773792
0.001,1e-08,0.2,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0268404725939035
0.001,1e-08,0.2,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0262198094278574
0.001,1e-08,0.2,100,1,0.3,0.25,catheter_device,0.0261161960661411
0.001,1e-08,0.2,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0261061266064643
0.001,1e-08,0.2,100,1,0.3,0.25,performance_status,0.0259415805339813
0.001,1e-08,0.2,100,1,0.3,0.25,tumor_surgically_removed,0.0259067192673683
0.001,1e-08,0.2,100,1,0.3,0.25,previous_ate,0.0256285928189754
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Gastric,0.0234299693256616
0.001,1e-08,0.2,100,1,0.3,0.25,venous_insufficiency,0.0225029960274696
0.001,1e-08,0.2,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0218995753675699
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_NSCLC,0.0211832169443368
0.001,1e-08,0.2,100,1,0.3,0.25,sex,0.0206574518233537
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0204666890203952
0.001,1e-08,0.2,100,1,0.3,0.25,pTNM_stage,0.0203383527696132
0.001,1e-08,0.2,100,1,0.3,0.25,diabetes_mellitus,0.0196732487529516
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0186719000339508
0.001,1e-08,0.2,100,1,0.3,0.25,age_cancer_dx,0.0182358063757419
0.001,1e-08,0.2,100,1,0.3,0.25,renal_insufficiency,0.0179866552352905
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Active smoker,0.0168492775410413
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Former smoker,0.0159528218209743
0.001,1e-08,0.2,100,1,0.3,0.25,hormone_therapy,0.0149111617356538
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Brain,0.0063916016370058
0.001,1e-08,0.2,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0060153794474899
0.001,1e-08,0.2,100,1,0.3,0.25,previous_vte,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs268_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs6025_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,performance_status,0.0386834815144538
0.001,1e-08,0.2,100,1,0.3,0.25,tumor_surgically_removed,0.0380503758788108
0.001,1e-08,0.2,100,1,0.3,0.25,rs5985_n_risk_alleles,0.0357977822422981
0.001,1e-08,0.2,100,1,0.3,0.25,diabetes_mellitus,0.033172320574522
0.001,1e-08,0.2,100,1,0.3,0.25,catheter_device,0.0329656824469566
0.001,1e-08,0.2,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.0318291671574115
0.001,1e-08,0.2,100,1,0.3,0.25,rs169713_n_risk_alleles,0.0316003039479255
0.001,1e-08,0.2,100,1,0.3,0.25,rs4524_n_risk_alleles,0.0305507406592369
0.001,1e-08,0.2,100,1,0.3,0.25,age_cancer_dx,0.0297509171068668
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Former smoker,0.0287508778274059
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Never has smoked,0.0286107435822486
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Gastric,0.028232729062438
0.001,1e-08,0.2,100,1,0.3,0.25,pTNM_stage,0.0270464792847633
0.001,1e-08,0.2,100,1,0.3,0.25,dyslipidemia,0.0264660585671663
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Bile duct,0.0262691266834735
0.001,1e-08,0.2,100,1,0.3,0.25,rs5110_n_risk_alleles,0.0257424302399158
0.001,1e-08,0.2,100,1,0.3,0.25,bmi,0.0254684910178184
0.001,1e-08,0.2,100,1,0.3,0.25,family_background_vte,0.0247879326343536
0.001,1e-08,0.2,100,1,0.3,0.25,grade_histological_differentiation,0.0245698411017656
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Colorectal,0.0240962356328964
0.001,1e-08,0.2,100,1,0.3,0.25,rs6003_n_risk_alleles,0.0238331146538257
0.001,1e-08,0.2,100,1,0.3,0.25,arterial_hypertension,0.0237281210720539
0.001,1e-08,0.2,100,1,0.3,0.25,previous_ate,0.0232155285775661
0.001,1e-08,0.2,100,1,0.3,0.25,tobacco_use_Active smoker,0.0230880416929721
0.001,1e-08,0.2,100,1,0.3,0.25,sex,0.0217223055660724
0.001,1e-08,0.2,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.0209962353110313
0.001,1e-08,0.2,100,1,0.3,0.25,venous_insufficiency,0.0199418272823095
0.001,1e-08,0.2,100,1,0.3,0.25,renal_insufficiency,0.0194468256086111
0.001,1e-08,0.2,100,1,0.3,0.25,copd,0.019315205514431
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Pancreatic,0.0191990472376346
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_NSCLC,0.0165240839123725
0.001,1e-08,0.2,100,1,0.3,0.25,hormone_therapy,0.0165006928145885
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Oesophageal,0.0149060264229774
0.001,1e-08,0.2,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0095494426786899
0.001,1e-08,0.2,100,1,0.3,0.25,primary_tumor_Brain,0.0069487253203988
0.001,1e-08,0.2,100,1,0.3,0.25,previous_vte,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs268_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.2,100,1,0.3,0.25,rs6025_n_risk_alleles,1.00843608379364e-05
0.001,1e-08,0.05,100,1,0.3,0.25,age_cancer_dx,0.1926543265581131
0.001,1e-08,0.05,100,1,0.3,0.25,tumor_surgically_removed,0.189004361629486
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Colorectal,0.1847120970487594
0.001,1e-08,0.05,100,1,0.3,0.25,rs5110_n_risk_alleles,0.181167721748352
0.001,1e-08,0.05,100,1,0.3,0.25,arterial_hypertension,0.1804319322109222
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Never has smoked,0.1782897114753723
0.001,1e-08,0.05,100,1,0.3,0.25,performance_status,0.1774084866046905
0.001,1e-08,0.05,100,1,0.3,0.25,venous_insufficiency,0.1758942306041717
0.001,1e-08,0.05,100,1,0.3,0.25,catheter_device,0.1741740256547927
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Pancreatic,0.1708182990550995
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Active smoker,0.1707751303911209
0.001,1e-08,0.05,100,1,0.3,0.25,sex,0.1701391488313675
0.001,1e-08,0.05,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.1688081622123718
0.001,1e-08,0.05,100,1,0.3,0.25,copd,0.1681885868310928
0.001,1e-08,0.05,100,1,0.3,0.25,pTNM_stage,0.1680382788181305
0.001,1e-08,0.05,100,1,0.3,0.25,rs169713_n_risk_alleles,0.1672858297824859
0.001,1e-08,0.05,100,1,0.3,0.25,previous_ate,0.1672854274511337
0.001,1e-08,0.05,100,1,0.3,0.25,rs4524_n_risk_alleles,0.1662403494119644
0.001,1e-08,0.05,100,1,0.3,0.25,rs5985_n_risk_alleles,0.1647396832704544
0.001,1e-08,0.05,100,1,0.3,0.25,bmi,0.1594441533088684
0.001,1e-08,0.05,100,1,0.3,0.25,grade_histological_differentiation,0.1583609282970428
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Former smoker,0.1562049835920334
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Bile duct,0.1530533134937286
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_NSCLC,0.1522588580846786
0.001,1e-08,0.05,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.1504256427288055
0.001,1e-08,0.05,100,1,0.3,0.25,rs6003_n_risk_alleles,0.148807093501091
0.001,1e-08,0.05,100,1,0.3,0.25,dyslipidemia,0.1456773579120636
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Oesophageal,0.141403242945671
0.001,1e-08,0.05,100,1,0.3,0.25,diabetes_mellitus,0.1406895518302917
0.001,1e-08,0.05,100,1,0.3,0.25,family_background_vte,0.140645295381546
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Gastric,0.1364383995532989
0.001,1e-08,0.05,100,1,0.3,0.25,renal_insufficiency,0.116635538637638
0.001,1e-08,0.05,100,1,0.3,0.25,hormone_therapy,0.0971098095178604
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Brain,0.0700487941503524
0.001,1e-08,0.05,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.062628760933876
0.001,1e-08,0.05,100,1,0.3,0.25,previous_vte,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs268_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs6025_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,arterial_hypertension,0.2036954015493393
0.001,1e-08,0.05,100,1,0.3,0.25,performance_status,0.2025102078914642
0.001,1e-08,0.05,100,1,0.3,0.25,age_cancer_dx,0.1954086571931839
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Colorectal,0.1947459876537323
0.001,1e-08,0.05,100,1,0.3,0.25,tumor_surgically_removed,0.1939854919910431
0.001,1e-08,0.05,100,1,0.3,0.25,rs169713_n_risk_alleles,0.1897688955068588
0.001,1e-08,0.05,100,1,0.3,0.25,dyslipidemia,0.188338354229927
0.001,1e-08,0.05,100,1,0.3,0.25,rs5985_n_risk_alleles,0.1867528110742569
0.001,1e-08,0.05,100,1,0.3,0.25,rs2227631_n_risk_alleles,0.1843831837177276
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Never has smoked,0.1805397719144821
0.001,1e-08,0.05,100,1,0.3,0.25,sex,0.1787245273590088
0.001,1e-08,0.05,100,1,0.3,0.25,copd,0.175138771533966
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Pancreatic,0.1746452748775482
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_NSCLC,0.1721536368131637
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Former smoker,0.1716233491897583
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Gastric,0.1690943837165832
0.001,1e-08,0.05,100,1,0.3,0.25,rs5110_n_risk_alleles,0.1656952202320099
0.001,1e-08,0.05,100,1,0.3,0.25,diabetes_mellitus,0.1591808795928955
0.001,1e-08,0.05,100,1,0.3,0.25,tobacco_use_Active smoker,0.1576206982135772
0.001,1e-08,0.05,100,1,0.3,0.25,venous_insufficiency,0.1540329158306121
0.001,1e-08,0.05,100,1,0.3,0.25,grade_histological_differentiation,0.1493226438760757
0.001,1e-08,0.05,100,1,0.3,0.25,rs4524_n_risk_alleles,0.1487264335155487
0.001,1e-08,0.05,100,1,0.3,0.25,family_background_vte,0.1486348956823349
0.001,1e-08,0.05,100,1,0.3,0.25,catheter_device,0.1458459645509719
0.001,1e-08,0.05,100,1,0.3,0.25,bmi,0.1449456661939621
0.001,1e-08,0.05,100,1,0.3,0.25,rs11696364_n_risk_alleles,0.1447207629680633
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Bile duct,0.1430369764566421
0.001,1e-08,0.05,100,1,0.3,0.25,previous_ate,0.142628863453865
0.001,1e-08,0.05,100,1,0.3,0.25,pTNM_stage,0.1421776711940765
0.001,1e-08,0.05,100,1,0.3,0.25,rs6003_n_risk_alleles,0.1305447071790695
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Oesophageal,0.1257457286119461
0.001,1e-08,0.05,100,1,0.3,0.25,renal_insufficiency,0.1188806071877479
0.001,1e-08,0.05,100,1,0.3,0.25,primary_tumor_Brain,0.1121734529733657
0.001,1e-08,0.05,100,1,0.3,0.25,hormone_therapy,0.1083233207464218
0.001,1e-08,0.05,100,1,0.3,0.25,chronic_cardiac_insufficiency,0.0824992135167121
0.001,1e-08,0.05,100,1,0.3,0.25,previous_vte,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs268_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs2232698_n_risk_alleles,1.0218704119324684e-05
0.001,1e-08,0.05,100,1,0.3,0.25,rs6025_n_risk_alleles,1.0218704119324684e-05
